x_year,organism_full,Resistant_Drug_Classes,Count,Total_Samples,Percentage,MDR_id
2016,Escherichia coli,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Penicillins, β-lactam combination agents",13,24129,0.05,M6-004
2016,Escherichia coli,"Carbapenems, Cephalosporins, Penicillins, β-lactam combination agents",11,24129,0.05,M4-026
2016,Escherichia coli,"Carbapenems, Cephalosporins, Folate pathway antagonists, Penicillins, β-lactam combination agents",10,24129,0.04,M5-019
2016,Escherichia coli,"Carbapenems, Penicillins, β-lactam combination agents",8,24129,0.03,M3-025
2016,Escherichia coli,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists",7,24129,0.03,M4-011
2016,Escherichia coli,"Aminoglycosides, Cephalosporins, Folate pathway antagonists",7,24129,0.03,M3-007
2016,Escherichia coli,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists",6,24129,0.02,M3-026
2016,Escherichia coli,"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Penicillins",5,24129,0.02,M5-007
2016,Escherichia coli,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins",4,24129,0.02,M6-001
2016,Escherichia coli,"Aminoglycosides, Carbapenems, Cephalosporins, Penicillins, β-lactam combination agents",3,24129,0.01,M5-006
2016,Escherichia coli,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents",3,24129,0.01,M5-012
2016,Escherichia coli,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins",3,24129,0.01,M5-016
2016,Escherichia coli,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Penicillins",2,24129,0.01,M5-002
2016,Escherichia coli,"Aminoglycosides, Cephalosporins, Fluoroquinolones",2,24129,0.01,M3-006
2016,Escherichia coli,"Carbapenems, Fluoroquinolones, Penicillins, β-lactam combination agents",2,24129,0.01,M4-029
2016,Escherichia coli,"Carbapenems, Folate pathway antagonists, Penicillins, β-lactam combination agents",2,24129,0.01,M4-030
2016,Escherichia coli,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents",2,24129,0.01,M4-032
2016,Escherichia coli,"Cephalosporins, Fluoroquinolones, β-lactam combination agents",2,24129,0.01,M3-028
2016,Escherichia coli,"Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents",2,24129,0.01,M3-033
2016,Escherichia coli,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones",1,24129,0.0,M4-001
2016,Escherichia coli,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists",1,24129,0.0,M5-001
2016,Escherichia coli,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, β-lactam combination agents",1,24129,0.0,M5-003
2016,Escherichia coli,"Aminoglycosides, Carbapenems, Folate pathway antagonists",1,24129,0.0,M3-003
2016,Escherichia coli,"Aminoglycosides, Fluoroquinolones, β-lactam combination agents",1,24129,0.0,M3-012
2016,Escherichia coli,"Aminoglycosides, Folate pathway antagonists, β-lactam combination agents",1,24129,0.0,M3-014
2016,Escherichia coli,"Carbapenems, Cephalosporins, Fluoroquinolones, Penicillins",1,24129,0.0,M4-022
2016,Escherichia coli,"Carbapenems, Cephalosporins, Folate pathway antagonists, Penicillins",1,24129,0.0,M4-024
2016,Escherichia coli,"Carbapenems, Fluoroquinolones, Folate pathway antagonists, Penicillins",1,24129,0.0,M4-027
