"organism_full","year","month","region","Resistant_Drug_Classes","pattern_count","total_rows_in_region_month","percentage","y_beta","month_numeric","sin_month","cos_month","season","season_id","region_id","year_month","time_id","mdr_id_numeric","future_year","fitted_mean","predicted_percent"
"Acinetobacter baumannii",2019,6,11,"CARBAPENEMS, CEPHEMS, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",1,107,0.93,0.0093,6,1.22464679914735e-16,-1,"rainy",2,11,201906,54,5,NA,0.0317892957832877,3.17892957832877
"Acinetobacter baumannii",2019,6,12,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",74,198,37.37,0.3737,6,1.22464679914735e-16,-1,"rainy",2,12,201906,54,1,NA,0.647808242348443,64.7808242348443
"Acinetobacter baumannii",2019,6,12,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",41,198,20.71,0.2071,6,1.22464679914735e-16,-1,"rainy",2,12,201906,54,4,NA,0.0638957837840253,6.38957837840253
"Acinetobacter baumannii",2019,6,12,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",31,198,15.66,0.1566,6,1.22464679914735e-16,-1,"rainy",2,12,201906,54,2,NA,0.134184876052432,13.4184876052432
"Acinetobacter baumannii",2019,6,12,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",10,198,5.05,0.0505,6,1.22464679914735e-16,-1,"rainy",2,12,201906,54,3,NA,0.0689660331010786,6.89660331010786
"Acinetobacter baumannii",2019,6,12,"CARBAPENEMS, CEPHEMS, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",3,198,1.52,0.0152,6,1.22464679914735e-16,-1,"rainy",2,12,201906,54,5,NA,0.0306756027968619,3.06756027968619
"Acinetobacter baumannii",2019,6,13,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",21,37,56.76,0.5676,6,1.22464679914735e-16,-1,"rainy",2,13,201906,54,1,NA,0.680738415383738,68.0738415383738
"Acinetobacter baumannii",2019,6,13,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",7,37,18.92,0.1892,6,1.22464679914735e-16,-1,"rainy",2,13,201906,54,2,NA,0.152287029159525,15.2287029159525
"Acinetobacter baumannii",2019,6,13,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",4,37,10.81,0.1081,6,1.22464679914735e-16,-1,"rainy",2,13,201906,54,4,NA,0.0733179587946286,7.33179587946286
"Acinetobacter baumannii",2019,6,13,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",3,37,8.11,0.0811,6,1.22464679914735e-16,-1,"rainy",2,13,201906,54,3,NA,0.0790743609400655,7.90743609400656
"Acinetobacter baumannii",2019,6,2,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",62,98,63.27,0.6327,6,1.22464679914735e-16,-1,"rainy",2,2,201906,54,1,NA,0.675352179973776,67.5352179973776
"Acinetobacter baumannii",2019,6,2,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",11,98,11.22,0.1122,6,1.22464679914735e-16,-1,"rainy",2,2,201906,54,2,NA,0.149125074166508,14.9125074166508
"Acinetobacter baumannii",2019,6,2,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",11,98,11.22,0.1122,6,1.22464679914735e-16,-1,"rainy",2,2,201906,54,3,NA,0.0772933164325039,7.72933164325039
"Acinetobacter baumannii",2019,6,2,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",8,98,8.16,0.0816,6,1.22464679914735e-16,-1,"rainy",2,2,201906,54,4,NA,0.0716564685222865,7.16564685222865
"Acinetobacter baumannii",2019,6,3,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",25,41,60.98,0.6098,6,1.22464679914735e-16,-1,"rainy",2,3,201906,54,1,NA,0.665400342710079,66.5400342710079
"Acinetobacter baumannii",2019,6,3,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",6,41,14.63,0.1463,6,1.22464679914735e-16,-1,"rainy",2,3,201906,54,3,NA,0.0741514573365699,7.415145733657
"Acinetobacter baumannii",2019,6,3,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",4,41,9.76,0.0976,6,1.22464679914735e-16,-1,"rainy",2,3,201906,54,2,NA,0.143515112194014,14.3515112194014
"Acinetobacter baumannii",2019,6,3,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,41,4.88,0.0488,6,1.22464679914735e-16,-1,"rainy",2,3,201906,54,4,NA,0.0687262619313316,6.87262619313316
"Acinetobacter baumannii",2019,6,3,"CARBAPENEMS, CEPHEMS, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",1,41,2.44,0.0244,6,1.22464679914735e-16,-1,"rainy",2,3,201906,54,5,NA,0.0330850436863535,3.30850436863535
"Acinetobacter baumannii",2019,6,4,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",121,160,75.62,0.7562,6,1.22464679914735e-16,-1,"rainy",2,4,201906,54,1,NA,0.669368382159145,66.9368382159144
"Acinetobacter baumannii",2019,6,4,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",13,160,8.12,0.0812,6,1.22464679914735e-16,-1,"rainy",2,4,201906,54,2,NA,0.145708660209313,14.5708660209313
"Acinetobacter baumannii",2019,6,4,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",10,160,6.25,0.0625,6,1.22464679914735e-16,-1,"rainy",2,4,201906,54,4,NA,0.0698689639673932,6.98689639673932
