Source_Folder,Source_File,Bacteria_Name,Target_Drug,Model,RMSE,WAPE,Best_Model_By_WAPE
All Data,escherichia_coli.csv,Escherichia Coli,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",SARIMA,1.0422,11.0917,XGBoost
All Data,escherichia_coli.csv,Escherichia Coli,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",ARIMA,1.8425,22.4569,XGBoost
All Data,escherichia_coli.csv,Escherichia Coli,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",TES,0.9298,9.6508,XGBoost
All Data,escherichia_coli.csv,Escherichia Coli,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",SES,1.1839,13.5776,XGBoost
All Data,escherichia_coli.csv,Escherichia Coli,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",XGBoost,0.8499,8.2172,XGBoost
All Data,escherichia_coli.csv,Escherichia Coli,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",SARIMA,0.4682,7.148,ARIMA
All Data,escherichia_coli.csv,Escherichia Coli,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",ARIMA,0.4671,7.092,ARIMA
All Data,escherichia_coli.csv,Escherichia Coli,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",TES,1.3791,24.1321,ARIMA
All Data,escherichia_coli.csv,Escherichia Coli,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",SES,0.52,8.2051,ARIMA
All Data,escherichia_coli.csv,Escherichia Coli,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",XGBoost,0.5698,9.3597,ARIMA
All Data,escherichia_coli.csv,Escherichia Coli,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",SARIMA,0.9291,14.4503,XGBoost
All Data,escherichia_coli.csv,Escherichia Coli,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",ARIMA,0.9559,15.0113,XGBoost
All Data,escherichia_coli.csv,Escherichia Coli,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",TES,0.9317,14.6142,XGBoost
All Data,escherichia_coli.csv,Escherichia Coli,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",SES,0.9554,15.0025,XGBoost
