organism_full,year,month,Resistant_Drug_Classes,pattern_count,total_rows_in_month,percentage
Staphylococcus aureus,2021,5,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",6,41,14.63
Staphylococcus aureus,2021,5,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",6,41,14.63
Staphylococcus aureus,2021,5,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",3,41,7.32
Staphylococcus aureus,2021,5,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,41,4.88
Staphylococcus aureus,2021,5,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,41,4.88
Staphylococcus aureus,2021,6,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",8,62,12.9
Staphylococcus aureus,2021,6,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",8,62,12.9
Staphylococcus aureus,2021,6,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",6,62,9.68
Staphylococcus aureus,2021,6,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",4,62,6.45
Staphylococcus aureus,2021,6,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",3,62,4.84
Staphylococcus aureus,2021,7,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",11,43,25.58
Staphylococcus aureus,2021,7,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",4,43,9.3
Staphylococcus aureus,2021,7,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",3,43,6.98
Staphylococcus aureus,2021,7,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,43,4.65
Staphylococcus aureus,2021,7,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,43,2.33
Staphylococcus aureus,2021,8,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",10,52,19.23
Staphylococcus aureus,2021,8,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",6,52,11.54
Staphylococcus aureus,2021,8,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",4,52,7.69
Staphylococcus aureus,2021,8,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",3,52,5.77
Staphylococcus aureus,2021,8,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,52,1.92
Staphylococcus aureus,2021,9,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",10,58,17.24
Staphylococcus aureus,2021,9,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",8,58,13.79
Staphylococcus aureus,2021,9,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",6,58,10.34
Staphylococcus aureus,2021,9,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",5,58,8.62
Staphylococcus aureus,2021,9,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",3,58,5.17
Staphylococcus aureus,2021,10,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",6,45,13.33
Staphylococcus aureus,2021,10,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",4,45,8.89
Staphylococcus aureus,2021,10,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",3,45,6.67
Staphylococcus aureus,2021,10,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,45,2.22
Staphylococcus aureus,2021,11,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",5,37,13.51
Staphylococcus aureus,2021,11,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",5,37,13.51
Staphylococcus aureus,2021,11,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",3,37,8.11
Staphylococcus aureus,2021,11,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",3,37,8.11
Staphylococcus aureus,2021,11,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,37,2.7
Staphylococcus aureus,2021,12,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",11,49,22.45
Staphylococcus aureus,2021,12,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",4,49,8.16
Staphylococcus aureus,2021,12,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",3,49,6.12
Staphylococcus aureus,2021,12,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",3,49,6.12
Staphylococcus aureus,2021,12,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,49,4.08
Staphylococcus aureus,2022,1,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",4,12,33.33
Staphylococcus aureus,2022,1,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,12,16.67
Staphylococcus aureus,2022,1,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,12,8.33
Staphylococcus aureus,2022,2,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",3,9,33.33
Staphylococcus aureus,2022,2,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,9,11.11
Staphylococcus aureus,2022,3,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,4,25.0
Staphylococcus aureus,2022,4,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",4,8,50.0
Staphylococcus aureus,2022,4,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,8,25.0
Staphylococcus aureus,2022,5,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",3,9,33.33
Staphylococcus aureus,2022,5,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,9,11.11
Staphylococcus aureus,2022,5,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,9,11.11
Staphylococcus aureus,2022,6,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,5,40.0
Staphylococcus aureus,2022,6,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,5,20.0
Staphylococcus aureus,2022,6,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,5,20.0
Staphylococcus aureus,2022,7,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,7,14.29
Staphylococcus aureus,2022,7,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,7,14.29
Staphylococcus aureus,2022,7,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,7,14.29
Staphylococcus aureus,2022,8,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",4,11,36.36
Staphylococcus aureus,2022,8,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,11,18.18
Staphylococcus aureus,2022,8,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,11,9.09
Staphylococcus aureus,2022,9,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",3,10,30.0
Staphylococcus aureus,2022,9,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,10,20.0
Staphylococcus aureus,2022,10,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,5,20.0
Staphylococcus aureus,2022,11,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",4,8,50.0
Staphylococcus aureus,2022,11,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,8,25.0
Staphylococcus aureus,2022,12,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,6,16.67
Staphylococcus aureus,2022,12,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,6,16.67
Staphylococcus aureus,2022,12,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,6,16.67
Staphylococcus aureus,2023,1,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",4,9,44.44
Staphylococcus aureus,2023,1,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,9,11.11
Staphylococcus aureus,2023,2,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,4,50.0
Staphylococcus aureus,2023,3,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",4,15,26.67
Staphylococcus aureus,2023,3,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,15,13.33
Staphylococcus aureus,2023,3,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,15,13.33
Staphylococcus aureus,2023,4,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,8,25.0
Staphylococcus aureus,2023,4,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,8,12.5
Staphylococcus aureus,2023,4,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,8,12.5
Staphylococcus aureus,2023,5,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",6,17,35.29
Staphylococcus aureus,2023,5,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,17,11.76
Staphylococcus aureus,2023,5,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,17,5.88
Staphylococcus aureus,2023,6,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",3,10,30.0
Staphylococcus aureus,2023,6,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,10,10.0
Staphylococcus aureus,2023,6,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,10,10.0
Staphylococcus aureus,2023,7,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",6,18,33.33
Staphylococcus aureus,2023,7,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,18,11.11
Staphylococcus aureus,2023,7,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,18,11.11
Staphylococcus aureus,2023,8,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",4,19,21.05
Staphylococcus aureus,2023,8,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,19,10.53
Staphylococcus aureus,2023,8,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,19,10.53
Staphylococcus aureus,2023,9,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",7,15,46.67
Staphylococcus aureus,2023,9,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",5,15,33.33
Staphylococcus aureus,2023,9,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,15,6.67
Staphylococcus aureus,2023,10,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",9,24,37.5
Staphylococcus aureus,2023,10,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",6,24,25.0
Staphylococcus aureus,2023,10,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",3,24,12.5
Staphylococcus aureus,2023,10,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,24,4.17
Staphylococcus aureus,2023,11,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",5,10,50.0
Staphylococcus aureus,2023,11,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,10,10.0
Staphylococcus aureus,2023,12,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",4,15,26.67
Staphylococcus aureus,2023,12,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,15,13.33
Staphylococcus aureus,2023,12,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,15,6.67
Staphylococcus aureus,2023,12,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,15,6.67
Staphylococcus aureus,2024,1,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",9,48,18.75
Staphylococcus aureus,2024,1,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",7,48,14.58
Staphylococcus aureus,2024,1,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,48,4.17
Staphylococcus aureus,2024,2,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",12,49,24.49
Staphylococcus aureus,2024,2,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",8,49,16.33
Staphylococcus aureus,2024,2,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",3,49,6.12
