organism,antibiotic,result,total_count
Enterobacter cloacae,ciprofloxacin,I,5280
Enterobacter cloacae,ciprofloxacin,R,16210
Enterobacter cloacae,ciprofloxacin,S,51827
Enterobacter cloacae,clindamycin,R,131
Enterobacter cloacae,colistin,I,15850
Enterobacter cloacae,colistin,R,2681
Enterobacter cloacae,colistin,S,189
Enterobacter cloacae,ertapenem,I,956
Enterobacter cloacae,ertapenem,R,4484
Enterobacter cloacae,ertapenem,S,47552
Enterobacter cloacae,erythromycin,R,220
Enterobacter cloacae,fosfomycin,I,8
Enterobacter cloacae,fosfomycin,R,29
Enterobacter cloacae,fosfomycin,S,521
Enterobacter cloacae,gentamicin,I,3060
Enterobacter cloacae,gentamicin,R,12194
Enterobacter cloacae,gentamicin,S,53131
Enterobacter cloacae,imipenem,I,1950
Enterobacter cloacae,imipenem,R,3673
Enterobacter cloacae,imipenem,S,59773
Enterobacter cloacae,levofloxacin,I,1769
Enterobacter cloacae,levofloxacin,R,5073
Enterobacter cloacae,levofloxacin,S,29263
Enterobacter cloacae,meropenem,I,471
Enterobacter cloacae,meropenem,R,4231
Enterobacter cloacae,meropenem,S,69772
Enterobacter cloacae,nitrofurantoin,I,387
Enterobacter cloacae,nitrofurantoin,R,516
Enterobacter cloacae,nitrofurantoin,S,1139
Enterobacter cloacae,norfloxacin,I,136
Enterobacter cloacae,norfloxacin,R,1551
Enterobacter cloacae,norfloxacin,S,4687
Enterobacter cloacae,oxacillin,R,4
Enterobacter cloacae,penicillin,R,1
Enterobacter cloacae,penicillin,S,2
Enterobacter cloacae,piperacillin/tazobactam,I,439
Enterobacter cloacae,piperacillin/tazobactam,R,13146
Enterobacter cloacae,piperacillin/tazobactam,S,44153
Enterobacter cloacae,teicoplanin,R,208
Enterobacter cloacae,tetracycline,I,48
Enterobacter cloacae,tetracycline,R,879
Enterobacter cloacae,tetracycline,S,2422
Enterobacter cloacae,trimethoprim/sulfamethoxazole,I,282
Enterobacter cloacae,trimethoprim/sulfamethoxazole,R,16856
Enterobacter cloacae,trimethoprim/sulfamethoxazole,S,49471
Enterobacter cloacae,vancomycin,R,233
Enterobacter spp.,amikacin,I,3980
Enterobacter spp.,amikacin,R,1125
Enterobacter spp.,amikacin,S,17820
Enterobacter spp.,amoxicillin/clavulanic acid,I,799
Enterobacter spp.,amoxicillin/clavulanic acid,R,18944
Enterobacter spp.,amoxicillin/clavulanic acid,S,3014
Enterobacter spp.,ampicillin,I,545
Enterobacter spp.,ampicillin,R,17071
Enterobacter spp.,ampicillin,S,1379
Enterobacter spp.,ampicillin/sulbactam,I,394
Enterobacter spp.,ampicillin/sulbactam,R,2744
Enterobacter spp.,ampicillin/sulbactam,S,1281
Enterobacter spp.,cefazolin,I,354
Enterobacter spp.,cefazolin,R,8019
Enterobacter spp.,cefazolin,S,598
Enterobacter spp.,cefepime,I,167
Enterobacter spp.,cefepime,R,2030
Enterobacter spp.,cefepime,S,7345
Enterobacter spp.,cefoperazone/sulbactam,I,52
Enterobacter spp.,cefoperazone/sulbactam,R,64
Enterobacter spp.,cefoperazone/sulbactam,S,708
Enterobacter spp.,cefotaxime,I,990
Enterobacter spp.,cefotaxime,R,7255
Enterobacter spp.,cefotaxime,S,14037
Enterobacter spp.,cefoxitin,I,454
Enterobacter spp.,cefoxitin,R,8841
Enterobacter spp.,cefoxitin,S,2074
Enterobacter spp.,ceftazidime,I,999
Enterobacter spp.,ceftazidime,R,6740
Enterobacter spp.,ceftazidime,S,18925
Enterobacter spp.,ceftriaxone,I,447
Enterobacter spp.,ceftriaxone,R,6731
Enterobacter spp.,ceftriaxone,S,14444
Enterobacter spp.,cefuroxime,I,501
Enterobacter spp.,cefuroxime,R,3132
Enterobacter spp.,cefuroxime,S,3143
Enterobacter spp.,chloramphenicol,I,43
Enterobacter spp.,chloramphenicol,R,111
Enterobacter spp.,chloramphenicol,S,591
Enterobacter spp.,ciprofloxacin,I,2162
