list_tested_classes,count_tested_classes,isolate_count
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Glycopeptides, Tetracycline, Tetracyclines, β-lactam combination agents",8,1
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Macrolides, Penicillins, Phenicol, β-lactam combination agents",8,1
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Macrolides, Phenicol, Tetracycline, Tetracyclines",8,1
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Phenicol, Tetracycline, Tetracyclines, β-lactam combination agents",8,1
"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Glycopeptides, Macrolides, Penicillins, Phenicol",8,1
"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Lincosamides, Penicillins, Phenicol, β-lactam combination agents",8,1
"Aminoglycosides, Carbapenems, Cephalosporins, Glycopeptides, Lincosamides, Macrolides, Penicillins, β-lactam combination agents",8,1
"Aminoglycosides, Carbapenems, Cephalosporins, Glycopeptides, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",8,1
"Aminoglycosides, Carbapenems, Cephalosporins, Penicillins, Phenicol, Tetracycline, Tetracyclines, β-lactam combination agents",8,1
"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Penicillins",8,1
"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Penicillins, Tetracycline, Tetracyclines",8,1
"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Macrolides, Penicillins, Phenicol",8,1
"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Tetracycline, Tetracyclines, β-lactam combination agents",8,1
"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Penicillins, Phenicol, Tetracycline, Tetracyclines",8,1
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, β-lactam combination agents",8,1
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Tetracycline, Tetracyclines",8,1
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipoglycopeptides, Penicillins, Tetracycline, Tetracyclines",8,1
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Glycopeptides, Lincosamides, Lipoglycopeptides, Penicillins, Phenicol",8,1
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Glycopeptides, Lincosamides, Penicillins, Tetracycline, Tetracyclines",8,1
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Glycopeptides, Lipoglycopeptides, Phenicol, Tetracycline, Tetracyclines",8,1
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins, β-lactam combination agents",8,1
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Lincosamides, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",8,1
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Glycopeptides, Lipoglycopeptides, Macrolides, Penicillins, Phenicol",8,1
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lincosamides, Macrolides, Tetracycline, Tetracyclines, β-lactam combination agents",8,1
"Aminoglycosides, Cephalosporins, Glycopeptides, Lincosamides, Lipoglycopeptides, Penicillins, Tetracycline, Tetracyclines",8,1
"Aminoglycosides, Cephalosporins, Glycopeptides, Lincosamides, Penicillins, Phenicol, Tetracycline, Tetracyclines",8,1
"Aminoglycosides, Cephalosporins, Glycopeptides, Lipoglycopeptides, Penicillins, Phenicol, Tetracycline, Tetracyclines",8,1
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Lipopeptides, Macrolides, Phenicol",8,1
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Macrolides, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",8,1
"Aminoglycosides, Fluoroquinolones, Glycopeptides, Lincosamides, Penicillins, Phenicol, Tetracycline, Tetracyclines",8,1
"Aminoglycosides, Fluoroquinolones, Lincosamides, Macrolides, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",8,1
"Aminoglycosides, Folate pathway antagonists, Lipoglycopeptides, Penicillins, Phenicol, Tetracycline, Tetracyclines, β-lactam combination agents",8,1
"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Tetracycline, Tetracyclines, β-lactam combination agents",8,1
"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Macrolides, Penicillins, Tetracycline, Tetracyclines",8,1
"Carbapenems, Cephalosporins, Fluoroquinolones, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins",8,1
"Carbapenems, Cephalosporins, Fluoroquinolones, Glycopeptides, Penicillins, Phenicol, Tetracycline, Tetracyclines",8,1
"Carbapenems, Cephalosporins, Fluoroquinolones, Lincosamides, Penicillins, Phenicol, Tetracycline, Tetracyclines",8,1
"Carbapenems, Cephalosporins, Folate pathway antagonists, Glycopeptides, Macrolides, Phenicol, Tetracycline, Tetracyclines",8,1
"Carbapenems, Cephalosporins, Folate pathway antagonists, Glycopeptides, Penicillins, Phenicol, Tetracycline, Tetracyclines",8,1
"Carbapenems, Cephalosporins, Folate pathway antagonists, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",8,1
"Carbapenems, Cephalosporins, Folate pathway antagonists, Macrolides, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",8,1
"Carbapenems, Cephalosporins, Glycopeptides, Lincosamides, Macrolides, Tetracycline, Tetracyclines, β-lactam combination agents",8,1
"Carbapenems, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Phenicol, Tetracycline, Tetracyclines",8,1
"Carbapenems, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Macrolides, Phenicol, Tetracycline, Tetracyclines",8,1
"Carbapenems, Fluoroquinolones, Glycopeptides, Lincosamides, Macrolides, Penicillins, Phenicol, β-lactam combination agents",8,1
"Carbapenems, Fluoroquinolones, Glycopeptides, Lincosamides, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",8,1
"Carbapenems, Fluoroquinolones, Glycopeptides, Lipoglycopeptides, Macrolides, Penicillins, Tetracycline, Tetracyclines",8,1
"Carbapenems, Fluoroquinolones, Glycopeptides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",8,1
"Carbapenems, Fluoroquinolones, Glycopeptides, Penicillins, Phenicol, Tetracycline, Tetracyclines, β-lactam combination agents",8,1
"Carbapenems, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Penicillins, Phenicol, β-lactam combination agents",8,1
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lipopeptides, Penicillins, Tetracycline, Tetracyclines",8,1
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Macrolides, Phenicol, Tetracycline, Tetracyclines",8,1
"Cephalosporins, Fluoroquinolones, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides, Tetracycline, Tetracyclines",8,1
"Cephalosporins, Fluoroquinolones, Lincosamides, Lipoglycopeptides, Penicillins, Phenicol, Tetracycline, Tetracyclines",8,1
"Cephalosporins, Fluoroquinolones, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines, β-lactam combination agents",8,1
"Cephalosporins, Folate pathway antagonists, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins, β-lactam combination agents",8,1
"Cephalosporins, Folate pathway antagonists, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides, Tetracycline, Tetracyclines",8,1
"Cephalosporins, Folate pathway antagonists, Glycopeptides, Lincosamides, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",8,1
"Cephalosporins, Folate pathway antagonists, Glycopeptides, Lipoglycopeptides, Macrolides, Phenicol, Tetracycline, Tetracyclines",8,1
"Folate pathway antagonists, Glycopeptides, Lincosamides, Lipoglycopeptides, Penicillins, Phenicol, Tetracycline, Tetracyclines",8,1
"Folate pathway antagonists, Glycopeptides, Lipoglycopeptides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",8,1
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",9,31653
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Penicillins, Tetracycline, Tetracyclines",9,14818
"Cephalosporins, Fluoroquinolones, Glycopeptides, Lincosamides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,9615
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lincosamides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,9290
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins, Phenicol",9,7435
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Macrolides, Penicillins, Tetracycline, Tetracyclines",9,5453
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,4244
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,3813
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Penicillins, Phenicol, β-lactam combination agents",9,3200
"Aminoglycosides, Fluoroquinolones, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins, Tetracycline, Tetracyclines",9,2530
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins, Tetracycline, Tetracyclines",9,2449
"Aminoglycosides, Fluoroquinolones, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,1283
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Macrolides, Phenicol, Tetracycline, Tetracyclines",9,1230
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",9,1094
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Tetracycline, Tetracyclines, β-lactam combination agents",9,962
"Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,949
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins, Phenicol",9,947
"Aminoglycosides, Fluoroquinolones, Glycopeptides, Lipoglycopeptides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,827
"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Lincosamides, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",9,721
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Penicillins, Tetracycline, Tetracyclines",9,709
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins",9,615
"Aminoglycosides, Folate pathway antagonists, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins, Tetracycline, Tetracyclines",9,603
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Macrolides, Phenicol, Tetracycline, Tetracyclines",9,570
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,551
"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",9,535
"Aminoglycosides, Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,449
"Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins, Tetracycline, Tetracyclines",9,423
"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",9,394
"Carbapenems, Cephalosporins, Fluoroquinolones, Glycopeptides, Lincosamides, Macrolides, Penicillins, Tetracycline, Tetracyclines",9,387
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lipoglycopeptides, Lipopeptides, Macrolides",9,355
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Glycopeptides, Lipoglycopeptides, Macrolides, Penicillins, Tetracycline, Tetracyclines",9,352
"Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lipoglycopeptides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,325
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Penicillins, β-lactam combination agents",9,321
"Carbapenems, Cephalosporins, Glycopeptides, Lincosamides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,320
"Cephalosporins, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,315
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,276
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Penicillins, Tetracycline, Tetracyclines",9,258
"Fluoroquinolones, Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,255
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, Phenicol, Tetracycline, Tetracyclines, β-lactam combination agents",9,247
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Lipoglycopeptides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,238
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Phenicol, Tetracycline, Tetracyclines, β-lactam combination agents",9,234
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Penicillins, Phenicol",9,233
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lipoglycopeptides, Macrolides, Penicillins, Tetracycline, Tetracyclines",9,228
"Carbapenems, Cephalosporins, Fluoroquinolones, Glycopeptides, Lincosamides, Macrolides, Phenicol, Tetracycline, Tetracyclines",9,195
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Tetracycline, Tetracyclines",9,191
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides, Tetracycline, Tetracyclines",9,189
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Lipoglycopeptides, Penicillins, Tetracycline, Tetracyclines",9,189
"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, Phenicol, Tetracycline, Tetracyclines, β-lactam combination agents",9,176
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Penicillins, Phenicol, β-lactam combination agents",9,168
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lipoglycopeptides, Lipopeptides, Phenicol, Tetracycline, Tetracyclines",9,129
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Phenicol, Tetracycline, Tetracyclines",9,99
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Macrolides, Penicillins, Phenicol",9,86
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins, Tetracycline, Tetracyclines",9,82
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Macrolides, Phenicol, Tetracycline, Tetracyclines",9,81
"Carbapenems, Cephalosporins, Fluoroquinolones, Glycopeptides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,77
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Glycopeptides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,75
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,73
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Phenicol, Tetracycline, Tetracyclines",9,71
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Lincosamides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,69
"Carbapenems, Cephalosporins, Fluoroquinolones, Lincosamides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,68
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Macrolides, Penicillins, Tetracycline, Tetracyclines",9,66
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides, Tetracycline, Tetracyclines",9,60
"Carbapenems, Cephalosporins, Glycopeptides, Lincosamides, Macrolides, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",9,60
"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lipoglycopeptides, Lipopeptides, Macrolides, Penicillins",9,59
"Aminoglycosides, Fluoroquinolones, Glycopeptides, Lincosamides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,56
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides, Phenicol",9,52
"Aminoglycosides, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,51
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,49
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,47
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Macrolides, Penicillins, β-lactam combination agents",9,38
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Macrolides, Tetracycline, Tetracyclines",9,38
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lipoglycopeptides, Penicillins, Tetracycline, Tetracyclines",9,35
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",9,34
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins, Tetracycline, Tetracyclines",9,33
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Penicillins, Phenicol, Tetracycline, Tetracyclines, β-lactam combination agents",9,32
"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Penicillins, Phenicol",9,32
"Carbapenems, Cephalosporins, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Penicillins, Tetracycline, Tetracyclines",9,32
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Lipoglycopeptides, Phenicol, Tetracycline, Tetracyclines",9,30
"Aminoglycosides, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,30
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides, Tetracycline, Tetracyclines",9,29
"Cephalosporins, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",9,29
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Glycopeptides, Lincosamides, Macrolides, Penicillins, Tetracycline, Tetracyclines",9,28
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lincosamides, Macrolides, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",9,28
"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Penicillins, β-lactam combination agents",9,27
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins, Tetracycline, Tetracyclines",9,26
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lipoglycopeptides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,26
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Lipoglycopeptides, Penicillins, Phenicol",9,25
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",9,25
"Carbapenems, Cephalosporins, Fluoroquinolones, Glycopeptides, Lincosamides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,25
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Penicillins, Tetracycline, Tetracyclines",9,24
"Fluoroquinolones, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,24
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,23
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,22
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins, Phenicol",9,22
"Aminoglycosides, Folate pathway antagonists, Glycopeptides, Lincosamides, Lipoglycopeptides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,22
"Carbapenems, Cephalosporins, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Penicillins, Phenicol, β-lactam combination agents",9,22
"Cephalosporins, Fluoroquinolones, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins, Tetracycline, Tetracyclines",9,22
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Phenicol, Tetracycline, Tetracyclines",9,21
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins, Phenicol",9,21
"Aminoglycosides, Folate pathway antagonists, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides, Phenicol, Tetracycline, Tetracyclines",9,21
"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Lipopeptides, Macrolides, Penicillins, β-lactam combination agents",9,21
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines, β-lactam combination agents",9,21
"Aminoglycosides, Cephalosporins, Glycopeptides, Lincosamides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,19
"Aminoglycosides, Fluoroquinolones, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides, Phenicol, Tetracycline, Tetracyclines",9,19
"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Penicillins, Phenicol, Tetracycline, Tetracyclines, β-lactam combination agents",9,18
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Glycopeptides, Lincosamides, Lipoglycopeptides, Penicillins, Tetracycline, Tetracyclines",9,18
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lipoglycopeptides, Macrolides, Phenicol, Tetracycline, Tetracyclines",9,18
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Phenicol, Tetracycline, Tetracyclines",9,17
"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Penicillins, Phenicol",9,17
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lipoglycopeptides, Macrolides, Penicillins, Phenicol",9,16
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Phenicol, Tetracycline, Tetracyclines",9,16
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Lipoglycopeptides, Penicillins, Tetracycline, Tetracyclines",9,15
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Macrolides, Tetracycline, Tetracyclines",9,14
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Penicillins, Tetracycline, Tetracyclines",9,14
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Penicillins, Tetracycline, Tetracyclines",9,14
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lipoglycopeptides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,14
"Carbapenems, Cephalosporins, Folate pathway antagonists, Glycopeptides, Lincosamides, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",9,14
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,13
"Cephalosporins, Folate pathway antagonists, Lincosamides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines, β-lactam combination agents",9,13
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Penicillins, Phenicol, β-lactam combination agents",9,12
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipoglycopeptides, Penicillins, Phenicol, Tetracycline, Tetracyclines",9,12
"Carbapenems, Cephalosporins, Fluoroquinolones, Glycopeptides, Lincosamides, Macrolides, Penicillins, Phenicol, β-lactam combination agents",9,12
"Carbapenems, Cephalosporins, Folate pathway antagonists, Lincosamides, Macrolides, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",9,12
"Carbapenems, Glycopeptides, Lincosamides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines, β-lactam combination agents",9,12
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Macrolides, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",9,12
"Aminoglycosides, Cephalosporins, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins, Tetracycline, Tetracyclines",9,11
