list_tested_classes,count_tested_classes,isolate_count
"Cephalosporins, Fluoroquinolones, Penicillins, β-lactam combination agents",4,726
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Lipoglycopeptides",4,647
"Macrolides, Penicillins, Tetracycline, Tetracyclines",4,636
"Cephalosporins, Glycopeptides, Lincosamides, Penicillins",4,604
"Folate pathway antagonists, Macrolides, Penicillins, β-lactam combination agents",4,532
"Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Penicillins",4,488
"Cephalosporins, Folate pathway antagonists, Macrolides, Penicillins",4,469
"Aminoglycosides, Glycopeptides, Lipoglycopeptides, Penicillins",4,385
"Folate pathway antagonists, Phenicol, Tetracycline, Tetracyclines",4,372
"Aminoglycosides, Cephalosporins, Lipopeptides, β-lactam combination agents",4,367
"Aminoglycosides, Fluoroquinolones, Lipopeptides, β-lactam combination agents",4,348
"Carbapenems, Fluoroquinolones, Lipopeptides, β-lactam combination agents",4,325
"Cephalosporins, Fluoroquinolones, Lincosamides, Penicillins",4,324
"Folate pathway antagonists, Glycopeptides, Macrolides, Penicillins",4,323
"Carbapenems, Fluoroquinolones, Folate pathway antagonists, Penicillins",4,319
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Penicillins",4,314
"Fluoroquinolones, Macrolides, Tetracycline, Tetracyclines",4,310
"Cephalosporins, Folate pathway antagonists, Lincosamides, Penicillins",4,307
"Carbapenems, Folate pathway antagonists, Penicillins, β-lactam combination agents",4,304
"Aminoglycosides, Folate pathway antagonists, Glycopeptides, Penicillins",4,303
"Fluoroquinolones, Glycopeptides, Tetracycline, Tetracyclines",4,292
"Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",4,287
"Lipoglycopeptides, Penicillins, Tetracycline, Tetracyclines",4,267
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Penicillins",4,256
"Cephalosporins, Fluoroquinolones, Glycopeptides, Lincosamides",4,256
"Aminoglycosides, Fluoroquinolones, Lincosamides, Macrolides",4,236
"Cephalosporins, Penicillins, Tetracycline, Tetracyclines",4,215
"Carbapenems, Cephalosporins, Lipopeptides, β-lactam combination agents",4,211
"Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Penicillins",4,211
"Folate pathway antagonists, Macrolides, Tetracycline, Tetracyclines",4,209
"Cephalosporins, Glycopeptides, Tetracycline, Tetracyclines",4,203
"Aminoglycosides, Carbapenems, Lipopeptides, β-lactam combination agents",4,202
"Cephalosporins, Lincosamides, Macrolides, Phenicol",4,190
"Lincosamides, Macrolides, Tetracycline, Tetracyclines",4,179
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides",4,178
"Carbapenems, Cephalosporins, Tetracycline, Tetracyclines",4,176
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Macrolides",4,167
"Aminoglycosides, Carbapenems, Cephalosporins, Penicillins",4,161
"Cephalosporins, Lincosamides, Tetracycline, Tetracyclines",4,160
"Aminoglycosides, Folate pathway antagonists, Penicillins, β-lactam combination agents",4,156
"Carbapenems, Folate pathway antagonists, Tetracycline, Tetracyclines",4,156
"Aminoglycosides, Penicillins, Tetracycline, Tetracyclines",4,150
"Cephalosporins, Fluoroquinolones, Lipopeptides, β-lactam combination agents",4,145
"Aminoglycosides, Carbapenems, Fluoroquinolones, Lipopeptides",4,144
"Fluoroquinolones, Glycopeptides, Lincosamides, Penicillins",4,133
"Aminoglycosides, Fluoroquinolones, Macrolides, Penicillins",4,126
"Cephalosporins, Glycopeptides, Macrolides, Phenicol",4,126
"Folate pathway antagonists, Glycopeptides, Lincosamides, Penicillins",4,121
"Cephalosporins, Glycopeptides, Lincosamides, Phenicol",4,114
"Aminoglycosides, Carbapenems, Cephalosporins, Lipopeptides",4,111
"Fluoroquinolones, Glycopeptides, Penicillins, Phenicol",4,111
"Aminoglycosides, Folate pathway antagonists, Lincosamides, Penicillins",4,105
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Lipopeptides",4,104
"Aminoglycosides, Lipoglycopeptides, Macrolides, Penicillins",4,103
"Cephalosporins, Glycopeptides, Penicillins, Phenicol",4,98
"Folate pathway antagonists, Glycopeptides, Macrolides, Phenicol",4,97
"Glycopeptides, Macrolides, Tetracycline, Tetracyclines",4,91
"Aminoglycosides, Cephalosporins, Glycopeptides, Penicillins",4,79
"Cephalosporins, Folate pathway antagonists, Glycopeptides, Penicillins",4,79
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents",4,76
"Penicillins, Phenicol, Tetracycline, Tetracyclines",4,72
"Aminoglycosides, Carbapenems, Penicillins, β-lactam combination agents",4,71
"Folate pathway antagonists, Lincosamides, Macrolides, Phenicol",4,70
"Cephalosporins, Fluoroquinolones, Macrolides, Penicillins",4,68
"Carbapenems, Cephalosporins, Fluoroquinolones, Phenicol",4,65
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Phenicol",4,64
"Folate pathway antagonists, Lincosamides, Tetracycline, Tetracyclines",4,61
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents",4,59
"Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides",4,56
"Aminoglycosides, Folate pathway antagonists, Macrolides, Penicillins",4,54
"Fluoroquinolones, Folate pathway antagonists, Macrolides, Penicillins",4,54
"Aminoglycosides, Macrolides, Tetracycline, Tetracyclines",4,52
"Glycopeptides, Lincosamides, Penicillins, Phenicol",4,51
"Carbapenems, Cephalosporins, Lincosamides, Macrolides",4,48
"Cephalosporins, Lincosamides, Penicillins, Phenicol",4,48
"Lincosamides, Lipoglycopeptides, Macrolides, Penicillins",4,48
"Carbapenems, Fluoroquinolones, Folate pathway antagonists, Lipopeptides",4,46
"Glycopeptides, Lincosamides, Tetracycline, Tetracyclines",4,46
"Aminoglycosides, Fluoroquinolones, Tetracycline, Tetracyclines",4,44
"Aminoglycosides, Cephalosporins, Tetracycline, Tetracyclines",4,43
"Aminoglycosides, Glycopeptides, Lincosamides, Penicillins",4,40
"Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",4,40
"Aminoglycosides, Folate pathway antagonists, Tetracycline, Tetracyclines",4,39
"Aminoglycosides, Macrolides, Penicillins, Phenicol",4,39
"Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides",4,38
"Aminoglycosides, Fluoroquinolones, Lincosamides, Penicillins",4,37
"Cephalosporins, Macrolides, Penicillins, Phenicol",4,37
"Folate pathway antagonists, Glycopeptides, Penicillins, Phenicol",4,37
"Aminoglycosides, Fluoroquinolones, Lipoglycopeptides, Penicillins",4,36
"Aminoglycosides, Glycopeptides, Lincosamides, Macrolides",4,36
"Carbapenems, Fluoroquinolones, Tetracycline, Tetracyclines",4,36
"Cephalosporins, Fluoroquinolones, Penicillins, Phenicol",4,35
"Glycopeptides, Phenicol, Tetracycline, Tetracyclines",4,35
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Glycopeptides",4,34
"Carbapenems, Fluoroquinolones, Glycopeptides, Lincosamides",4,33
"Cephalosporins, Glycopeptides, Lipoglycopeptides, Penicillins",4,32
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Lincosamides",4,31
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Macrolides",4,29
"Lincosamides, Penicillins, Tetracycline, Tetracyclines",4,29
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Macrolides",4,28
"Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Macrolides",4,28
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Glycopeptides",4,27
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lipoglycopeptides",4,26
"Aminoglycosides, Lincosamides, Tetracycline, Tetracyclines",4,26
"Aminoglycosides, Glycopeptides, Penicillins, Phenicol",4,25
"Cephalosporins, Fluoroquinolones, Glycopeptides, Phenicol",4,25
"Fluoroquinolones, Phenicol, Tetracycline, Tetracyclines",4,25
"Macrolides, Phenicol, Tetracycline, Tetracyclines",4,24
"Carbapenems, Lipopeptides, Penicillins, β-lactam combination agents",4,23
"Fluoroquinolones, Lipoglycopeptides, Macrolides, Penicillins",4,23
"Glycopeptides, Lincosamides, Lipoglycopeptides, Penicillins",4,23
"Glycopeptides, Lipoglycopeptides, Tetracycline, Tetracyclines",4,23
"Aminoglycosides, Cephalosporins, Lincosamides, Penicillins",4,22
"Aminoglycosides, Fluoroquinolones, Glycopeptides, Macrolides",4,20
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Phenicol",4,19
"Aminoglycosides, Fluoroquinolones, Penicillins, β-lactam combination agents",4,19
