Bacteria,Ward_Type,Drug_Name,ACF_Lag12,Seasonal_Strength,Has_Seasonality
Enterococcus faecalis,out,erythromycin,0.6725222531398812,0.0,True
Enterococcus faecalis,out,levofloxacin,0.7451536686878074,0.0002820260313248779,True
Enterococcus faecalis,out,penicillin,0.7121264863148972,2.738270475921567e-07,True
Enterococcus faecalis,out,tetracycline,0.36573522936767444,0.0,False
Enterococcus faecium,icu,Sensitive/None,0.6554183389935166,4.3794402026064994e-05,True
Enterococcus faecium,icu,ampicillin,0.5997858214677746,0.07222081758869159,True
Enterococcus faecium,icu,ciprofloxacin,0.5997858214677746,0.07222081758869159,True
Enterococcus faecium,icu,erythromycin,0.5997858214677746,0.07222081758869159,True
Enterococcus faecium,icu,levofloxacin,0.5997858214677746,0.07222081758869159,True
Enterococcus faecium,icu,penicillin,0.5997858214677746,0.07222081758869159,True
Enterococcus faecium,icu,teicoplanin,-0.011111111111111077,0.0,False
Enterococcus faecium,icu,tetracycline,0.6041090336106497,0.006766444742831279,True
Enterococcus faecium,icu,vancomycin,0.6204332050996841,0.0,True
Enterococcus faecium,in,Sensitive/None,0.6896826127932157,0.0,True
Enterococcus faecium,in,ampicillin,0.6521101311036424,0.0,True
Enterococcus faecium,in,chloramphenicol,0.6076357796500196,7.718631237096929e-05,True
Enterococcus faecium,in,ciprofloxacin,0.6521101311036424,0.0,True
Enterococcus faecium,in,erythromycin,0.6521101311036424,0.0,True
Enterococcus faecium,in,levofloxacin,0.6521101311036424,0.0,True
Enterococcus faecium,in,norfloxacin,0.6076357796500196,7.718631237096929e-05,True
Enterococcus faecium,in,penicillin,0.6521101311036424,0.0,True
Enterococcus faecium,in,teicoplanin,0.6451522241288375,0.08607630146473289,True
Enterococcus faecium,in,tetracycline,0.628781172363817,0.0,True
Enterococcus faecium,in,vancomycin,0.6451522241288375,0.08607630146473289,True
Enterococcus faecium,out,teicoplanin,0.6802972894199941,0.0,True
Enterococcus faecium,out,vancomycin,0.6802972894199941,0.0,True
Klebsiella pneumoniae,icu,amikacin,0.061315613577367596,0.09150332509310732,False
Klebsiella pneumoniae,icu,amoxicillin/clavulanic acid,0.15265693405560615,0.16746248187101742,False
Klebsiella pneumoniae,icu,ampicillin,0.2761338283008615,0.1762188462205373,False
Klebsiella pneumoniae,icu,ampicillin/sulbactam,0.04463437892340584,0.05558785258266574,False
Klebsiella pneumoniae,icu,cefepime,0.7168324227374185,0.07144862171647881,True
Klebsiella pneumoniae,icu,ceftazidime,0.6168931166882172,0.3738317535304133,True
Klebsiella pneumoniae,icu,ceftriaxone,0.14978033966484583,0.0,False
Klebsiella pneumoniae,icu,cefuroxime,0.24113664119645742,0.22835280832384341,False
Klebsiella pneumoniae,icu,ciprofloxacin,0.5456367095044011,0.03886268719065922,True
Klebsiella pneumoniae,icu,ertapenem,0.7643561927227174,0.3160256953716354,True
Klebsiella pneumoniae,icu,gentamicin,0.5661867912430116,0.2617152036225229,True
Klebsiella pneumoniae,icu,imipenem,0.2619477998820716,0.19874669712369375,False
Klebsiella pneumoniae,icu,levofloxacin,0.4338583238295923,0.2866485146719784,True
Klebsiella pneumoniae,icu,meropenem,0.4217599993343323,0.22067094691013045,True
Klebsiella pneumoniae,icu,norfloxacin,0.4167710150187786,0.19374432296702837,True
Klebsiella pneumoniae,icu,piperacillin/tazobactam,0.05288986803815473,0.024941121369066677,False
Klebsiella pneumoniae,icu,trimethoprim/sulfamethoxazole,0.6180536895051811,0.0,True
Klebsiella pneumoniae,in,amikacin,0.37056773074443006,0.2344684976384287,False
Klebsiella pneumoniae,in,amoxicillin/clavulanic acid,4.380320561572741e-06,0.37634735537607567,True
Klebsiella pneumoniae,in,ampicillin,0.5517474657807904,0.25501696860302414,True
Klebsiella pneumoniae,in,ampicillin/sulbactam,-0.22702934703922772,0.09416367856001207,False
Klebsiella pneumoniae,in,cefepime,0.703068126249272,0.25383438788711365,True
Klebsiella pneumoniae,in,ceftazidime,0.5989073794815732,0.24133763631343796,True
Klebsiella pneumoniae,in,ceftriaxone,0.07392552020581244,0.0,False
