organism_full,year,month,region,Resistant_Drug_Classes,pattern_count,total_rows_in_region_month,percentage
Klebsiella pneumoniae ,2015,6,4.0,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",1,57,1.75
Klebsiella pneumoniae ,2015,6,5.0,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",9,49,18.37
Klebsiella pneumoniae ,2015,6,5.0,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",8,49,16.33
Klebsiella pneumoniae ,2015,6,5.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",2,49,4.08
Klebsiella pneumoniae ,2015,6,5.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",1,49,2.04
Klebsiella pneumoniae ,2015,6,6.0,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",19,56,33.93
Klebsiella pneumoniae ,2015,6,6.0,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",8,56,14.29
Klebsiella pneumoniae ,2015,6,6.0,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",5,56,8.93
Klebsiella pneumoniae ,2015,6,6.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",1,56,1.79
Klebsiella pneumoniae ,2015,6,7.0,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",18,60,30.0
Klebsiella pneumoniae ,2015,6,7.0,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",10,60,16.67
Klebsiella pneumoniae ,2015,6,7.0,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",5,60,8.33
Klebsiella pneumoniae ,2015,6,7.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",4,60,6.67
Klebsiella pneumoniae ,2015,6,7.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",2,60,3.33
Klebsiella pneumoniae ,2015,6,8.0,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",10,31,32.26
Klebsiella pneumoniae ,2015,6,8.0,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",4,31,12.9
Klebsiella pneumoniae ,2015,6,8.0,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",4,31,12.9
Klebsiella pneumoniae ,2015,6,8.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",1,31,3.23
Klebsiella pneumoniae ,2015,6,9.0,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",6,27,22.22
Klebsiella pneumoniae ,2015,6,9.0,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",5,27,18.52
Klebsiella pneumoniae ,2015,6,9.0,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",3,27,11.11
Klebsiella pneumoniae ,2015,6,9.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",1,27,3.7
Klebsiella pneumoniae ,2015,7,1.0,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",13,33,39.39
Klebsiella pneumoniae ,2015,7,1.0,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",4,33,12.12
Klebsiella pneumoniae ,2015,7,1.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",2,33,6.06
Klebsiella pneumoniae ,2015,7,11.0,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",2,6,33.33
Klebsiella pneumoniae ,2015,7,11.0,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",2,6,33.33
Klebsiella pneumoniae ,2015,7,12.0,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",11,22,50.0
Klebsiella pneumoniae ,2015,7,12.0,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",4,22,18.18
Klebsiella pneumoniae ,2015,7,12.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",2,22,9.09
Klebsiella pneumoniae ,2015,7,12.0,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",2,22,9.09
Klebsiella pneumoniae ,2015,7,12.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",1,22,4.55
Klebsiella pneumoniae ,2015,7,13.0,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",11,37,29.73
Klebsiella pneumoniae ,2015,7,13.0,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",9,37,24.32
