organism_full,year,month,ward_type,Resistant_Drug_Classes,pattern_count,total_rows_in_ward_month,percentage
Escherichia coli,2018,7,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",61,700,8.71
Escherichia coli,2018,7,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",59,700,8.43
Escherichia coli,2018,7,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",42,700,6.0
Escherichia coli,2018,8,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",92,680,13.53
Escherichia coli,2018,8,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",72,680,10.59
Escherichia coli,2018,8,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",60,680,8.82
Escherichia coli,2018,8,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",56,680,8.24
Escherichia coli,2018,8,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",51,680,7.5
Escherichia coli,2018,9,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",98,690,14.2
Escherichia coli,2018,9,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",85,690,12.32
Escherichia coli,2018,9,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",63,690,9.13
Escherichia coli,2018,9,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",57,690,8.26
Escherichia coli,2018,9,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",32,690,4.64
Escherichia coli,2018,10,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",77,650,11.85
Escherichia coli,2018,10,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",73,650,11.23
Escherichia coli,2018,10,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",63,650,9.69
Escherichia coli,2018,10,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",60,650,9.23
Escherichia coli,2018,10,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",36,650,5.54
Escherichia coli,2018,11,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",80,632,12.66
Escherichia coli,2018,11,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",66,632,10.44
Escherichia coli,2018,11,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",64,632,10.13
Escherichia coli,2018,11,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",53,632,8.39
Escherichia coli,2018,11,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",35,632,5.54
Escherichia coli,2018,12,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",87,626,13.9
Escherichia coli,2018,12,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",76,626,12.14
Escherichia coli,2018,12,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",60,626,9.58
Escherichia coli,2018,12,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",51,626,8.15
Escherichia coli,2018,12,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",42,626,6.71
Escherichia coli,2019,1,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",208,1539,13.52
Escherichia coli,2019,1,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",185,1539,12.02
Escherichia coli,2019,1,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",132,1539,8.58
Escherichia coli,2019,1,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",119,1539,7.73
