organism_full,year,month,ward_type,Resistant_Drug_Classes,pattern_count,total_rows_in_ward_month,percentage
Escherichia coli,2022,4,out,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",36,449,8.02
Escherichia coli,2022,4,out,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",28,449,6.24
Escherichia coli,2022,4,out,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",26,449,5.79
Escherichia coli,2022,4,out,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",22,449,4.9
Escherichia coli,2022,5,out,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",76,503,15.11
Escherichia coli,2022,5,out,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",57,503,11.33
Escherichia coli,2022,5,out,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",38,503,7.55
Escherichia coli,2022,5,out,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",28,503,5.57
Escherichia coli,2022,5,out,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",26,503,5.17
Escherichia coli,2022,6,out,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",50,447,11.19
Escherichia coli,2022,6,out,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",48,447,10.74
Escherichia coli,2022,6,out,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",32,447,7.16
Escherichia coli,2022,6,out,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",27,447,6.04
